0,1,2,3,Total
0,0,0,0,0.0
0,0,0,0,0.0
TPS 001,0,0,0,0.0
TPS 002,0,0,0,0.0
TPS 003,0,0,0,0.0
TPS 004,28,161,29,218.0
TPS 005,44,142,16,202.0
TPS 006,42,157,8,207.0
TPS 007,0,0,0,0.0
TPS 008,0,0,0,0.0
TPS 009,34,149,13,196.0
TPS 010,0,0,0,0.0
TPS 011,45,869,18,932.0
TPS 012,42,153,7,202.0
TPS 013,19,136,59,214.0
TPS 014,0,0,0,0.0
TPS 015,0,0,0,0.0
